kana	english	common	part
かいご(する)	nursing, care	介護(する)	n.
せいせき	record, result, grade, mark	成績	n.
こうこく(する)	advertisement, flyer	広告(する)	n.
ほんじつ	today  本日は晴天です。 — It’s sunny today.	本日	n.
きょうちょう(する)	emphasis, stress	強調(する)	n.
おおいに	very, greatly	大いに	adv.
たまる	bear, endure	たまる	v.
おこさん	(someone else’s) child	お子さん	n.
じったい	actual situation	実態	n.
によれば	according to, ... say	によれば	cp.
かくれる	be hidden, hide	隠れる	v.
うめる	cover, bury	埋める	v.
トップ	top	トップ	n.
いらい(する)	request	依頼(する)	n.
もはや	now, already; not ... any longer	もはや	adv.
しん	truth; reality	真	n.
しゅっさん(する)	birth	出産(する)	n.
たっせい(する)	achievement, attainment	達成(する)	n.
しんせい(する)	application, petition	申請(する)	n.
しりあう	get to know	知り合う	v.
おやこ	parent and child, parents and children	親子	n.
とりくみ	match; approach	取り組み	n.
まねく	invite	招く	v.
にじゅうひ	twentieth (date); twenty days	二十日	n.
せいじいえ	politician	政治家	n.
とびだす	spring out; come rushing out	飛び出す	v.
おちいる	fall into	陥る	v.
よせる	let come near, bring near; put; be dependent on	寄せる	v.
ていいん	capacity (people)	定員	n.
ちゅうしゃば	parking space, parking lot, car park	駐車場	n.
かれし	boyfriend	彼氏	n.
しき	ceremony	式	n.
によっては	depending on	によっては	cp.
ふた	lid	蓋	n.
み	seed; berry; fruit; nut; pulp	実	n.
しゃかいひと	adult; full member of society	社会人	n.
はか	grave  墓参りに行った。 — I visited the grave.	墓	n.
じゅうさん	. thirteen	十三	num
やど	inn, hotel	宿	n.
としん	city center, downtown area	都心	n.
にかげつ	two months	二ヶ月	n.
やくだつ	useful	役立つ	v.
どようび	Saturday	土曜日	n.
ろうどうもの	laborer, working man	労働者	n.
ごひ	fifth (date); five days	五日	n.
はつばい(する)	sale	発売(する)	n.
なりたつ	be concluded; consist of	成り立つ	v.
にんずう		人数	n.
ぶっしつ	matter, material	物質	n.
おんど	temperature; heat	温度	n.
せいしつ	nature, disposition	性質	n.
ほうしん	course, line; policy, plan; principle	方針	n.
ひたすら	determinedly, earnestly  ひたすら前だけを見て頑張った。 — I looked ahead determinedly and persevered.	ひたすら	adv.
ひみつ	secret, confidence  秘密は守ります。 — I’ll keep your secret.	秘密	n.
がいとう(する)	fall under, be applicable, correspond	該当(する)	n.
あんない	guidance; guide, sign	案内	n.
きそ	basis, basics, foundation	基礎	n.
たんなる	mere, simple	単なる	adn.
くさ	grass, weed	草	n.
しょくひん	food	食品	n.
トラブル	trouble	トラブル	n.
うえる	plant	植える	v.
ていぎ	definition	定義	n.
もりあがる	swell, rise; liven up	盛り上がる	v.
そふ	grandfather	祖父	n.
とびら	door	扉	n.
ぼくたち	we (used by male speakers)	僕達	pron.
にわたって	throughout, over  a period of	にわたって	cp.
ろうか	corridor	廊下	n.
ようせい	request	要請	n.
(お)ねえさん	elder sister	(お)姉さん	n.
プログラム	program	プログラム	n.
しょくぎょう	occupation, trade, profession	職業	n.
げんかい	limit, boundary	限界	n.
ちい	rank, position	地位	n.
おう	take, assume	負う	v.
なにしろ	anyhow, anyway	何しろ	adv.
なんと	how, what	何と	adv.
エンジン	engine	エンジン	n.
コンビニ	convenience store	コンビニ	n.
しつ	nature, quality	質	n.
かんじ	kanji, Chinese character	漢字	n.
せいさく	policy	政策	n.
ほんもの	real (thing), genuine	本物	n.
つくりだす	make, create	作り出す	v.
かいしょう(する)	cancellation, annulment; cancel, dissolve	解消(する)	n.
キャンプ	camp	キャンプ	n.
アルバム	album	アルバム	n.
うんめい	destiny, fate	運命	n.
にちがいない	must be, no doubt that	に違いない	aux.
はっする	emit, release	発する	v.
ロボット	robot	ロボット	n.
すいぶん	water, moisture	水分	n.
てんのう	Emperor	天皇	n.
ぬの	cloth	布	n.
せいぶつ	living thing; biology	生物	n.
ね	root	根	n.
しんよう(する)	trust, rely on	信用(する)	n.
ロシア	Russia	ロシア	n.
のうぎょう	agriculture	農業	n.
しそう	thought, idea	思想	n.
ていねい	careful, polite	丁寧	na-adj.
たね	seed	種	n.
しょるい	document	書類	n.
うたがう	suspect, doubt	疑う	v.
かみさま	god, God 彼は神様を信じている。 — He believes in God.	神様	n.
くやしい	regrettable, frustrating; feel regret	悔しい	i-adj.
のうか	farmer	農家	n.
しちょうそん	municipality	市町村	n.
ひがいもの	victim	被害者	n.
とけい	watch; clock  時計を見る。 — I look at my watch.	時計	n.
くも	cloud	雲	n.
ぱっと	suddenly	ぱっと	adv.
メッセージ	message	メッセージ	n.
いじめ	bullying	いじめ	n.
りこん(する)	divorce	離婚(する)	n.
こうかてき	effective	効果的	na-adj.
けいさい(する)	publication	掲載(する)	n.
しょっちゅう	often, always	しょっちゅう	adv.
オリンピック	Olympics	オリンピック	n.
そうさ(する)	operation	操作(する)	n.
ちえ	wisdom	知恵	n.
でんとう	tradition	伝統	n.
とまる	stay	留まる	v.
うかる	pass	受かる	v.
おそれる	fear, be afraid	恐れる	v.
いちじるしい	significant	著しい	i-adj.
カレー	curry	カレー	n.
ウインドウズ	Windows	ウインドウズ	n.
すくう	save, rescue	救う	v.
たすかる	survive, be saved; be helpful  彼のおかげで助かった。 — I survived thanks to him.	助かる	v.
めぐる	go around	巡る	v.
よやく(する)	reservation	予約(する)	n.
ひびく	affect	響く	v.
じぜん	prior	事前	n.
しんこう(する)	progression	進行(する)	n.
かいせつ(する)	explanation, comment, description	解説(する)	n.
つぶす	smash; crush, squash; ruin	潰す	v.
にとき	two o’clock	二時	n.
ぎょうじ	event	行事	n.
だんじょ	men and women	男女	n.
メイン	main メイン料理はこれからだ。 — The main dish is coming soo	メイン	n.
かむ	bite; chew	かむ	v.
あたためる	warm, heat	温める	v.
がいねん	notion, idea, concept	概念	n.
じゅうし(する)	respect	重視(する)	n.
ふくすう	plural	複数	n.
さんじゅう	. thirty  もうすぐ三十になる。 — I will be thirty soo	三十	num
こうふん(する)	excitement	興奮(する)	n.
つっこむ	thrust, stick; dip; shove	突っ込む	v.
うし	cattle, cow, ox	牛	n.
かがみ	mirror	鏡	n.
ないし	or, otherwise	ないし	conj.
にせんとし	two thousand years	二千年	n.
けむり	smoke, fumes; fog	煙	n.
さんしょう(する)	reference	参照(する)	n.
かちかん	sense of values	価値観	n.
バター	butter	バター	n.
スープ	soup	スープ	n.
じさつ(する)	suicide	自殺(する)	n.
トラック	truck	トラック	n.
いいん	committee member; councillor	委員	n.
ぎょうせい	administration, government	行政	n.
いちとしせい	first grade, first year	一年生	n.
おかす	commit, offend; break	犯す	v.
ふくらむ	swell, expand	膨らむ	v.
とうとう	finally	とうとう	adv.
このごろ	these days	このごろ	n.
じょし	woman, girl	女子	n.
じぇいあーる	Japan Railways (JR)	ＪＲ	n.
げんご	language, tongue, speech	言語	n.
とる	[shortened form of “teoru”]	とる	aux.
いらい	since	以来	n.
しない	within the city	市内	n.
しかしながら	however, but	しかしながら	aux.
はり	needle; stitch	針	n.
しゅうだん	group, mass	集団	n.
たいちょう	physical condition	体調	n.
さんねんかん	three years	三年間	n.
てまえ	this side	手前	n.
おさない	young, immature, childish	幼い	i-adj.
せつ	theory; explanation	説	n.
じんじゃ	shrine	神社	n.
れっしゃ	train	列車	n.
むちゅう	,	夢中	n.
トレーニング	training	トレーニング	n.
よほど、よっぽど	very, greatly	よほど、よっぽど	adv.
どうせ	anyway  どうせだめだ。 — It’s impossible, anyway.	どうせ	adv.
さか	slope, hill	坂	n.
けんさく(する)	search	検索(する)	n.
あっぷ(する)	raise	アップ(する)	n.
たえる	cease, fail	絶える	v.
さんじゅういちひ	thirty-first	三十一日	n.
しゅざい(する)	interview, report	取材(する)	n.
ぶつかる	strike, bump, collide  壁にぶつかった。 — I bumped into the wall.	ぶつかる	v.
まがる	bend, wind; turn	曲がる	v.
ては	,	ては	p.
ぜんねん	previous year, year before	前年	n.
あきる	tire, weary, be tired of, get bored	飽きる	v.
さんじゅうひ	thirtieth (date);  thirty days	三十日	n.
ぶんるい(する)	classification	分類(する)	n.
どっち	which	どっち	pron.
じぶんなり	in one’s own way 自分なりにやってみます。 — I’ll do it in my own way.	自分なり	n.
かくご(する)	readiness, preparedness	覚悟(する)	n.
いと	thread, string	糸	n.
たいほ(する)	arrest	逮捕(する)	n.
おさまる	hold, pack	収まる	v.
こうしょう(する)	negotiation, treaty	交渉(する)	n.
えだ	branch, twig, bough	枝	n.
なにより	above all, chiefly, more than anything	なにより	adv.
きょうかしょ	textbook	教科書	n.
ろくとき	six o’clock	六時	n.
とりひき	business, dealing, trade	取り引き	n.
めんきょ	license, permit	免許	n.
こうずる	take	講ずる	v.
ふとい	thick; heavy; bold	太い	i-adj.
ひらく	open	開く	v.
およぼす	influence, affect	及ぼす	v.
せんえん	one thousand yen	千円	n.
どくじ	original, own	独自	na-adj.
ゆうしょく	dinner	夕食	n.
ふるえる	shake, tremble  手が震えた。 — My hands were trembling.	震える	v.
しんぞう	heart	心臓	n.
せかいてき	world, global	世界的	na-adj.
しょぞく(する)	affiliation	所属(する)	n.
さわぐ	make a noise, make a fuss	騒ぐ	v.
そっと	softly, lightly	そっと	adv.
ためる	save, store, accumulate	溜める	v.
ばん	night, evening	晩	n.
こや	hut, cabin, barn, shed  彼は小屋で暮らしている。 — He lives in a hut.	小屋	n.
かいぎ	meeting	会議	n.
こせい	personality, character	個性	n.
たがる	want to	たがる	aux.
りそう	ideal, dream	理想	n.
きゅうりょう	salary  今日給料をもらう。 — I will get my salary today.	給料	n.
マスコミ	mass media, mass communication	マスコミ	n.
おい	hey	おい	interj.
やね	roof	屋根	n.
クリスマス	Christmas	クリスマス	n.
かさなる	pile up; conspire	重なる	v.
かくち	each place	各地	n.
おちこむ	sink, go down;  be depressed	落ち込む	v.
しんか(する)	evolution	進化(する)	n.
とんでも	unexpected; outrageous, very offensive	とんでも	adv.
おもいつく	think of, guess, conceive	思い付く	v.
しんかんせん	bullet train	新幹線	n.
だいさん	third	第三	n.
かぞえる	count,	数える	v.
こうかい(する)	exhibition, presentation	公開(する)	n.
じめん	ground, land	地面	n.
こうけん(する)	contribution, service	貢献(する)	n.
たいふう	typhoon	台風	n.
うつる	reflect	映る	v.
だいじん	Cabinet minister, minister of state	大臣	n.
じゅうよん	. fourteen	十四	num
にゅうがく(する)	"(school etc.) 	entrance, admission"	入学(する)	n.
こうちゃ	tea (black)	紅茶	n.
ひかえる	abstain, hold back, refrain	控える	v.
うながす	urge	促す	v.
なにごと	what  何事ですか？ — What’s the matter?	何事	n.
プレゼント	present	プレゼント	n.
くばる	deal, distribute, deliver	配る	v.
かいかく(する)	reform	改革(する)	n.
いっち(する)	agreement, accord	一致(する)	n.
ゼロ	zero	ゼロ	n.
ぎむ	duty, obligation	義務	n.
しゅっせき(する)	attendance	出席(する)	n.
じゅうひと	ten people	十人	n.
しょぶん(する)	disposal, disposition	処分(する)	n.
ねんかん	year; annual	年間	n.
ひろしま	Hiroshima	広島	n.
NHK	Nihon	NHK	n.
せっけい(する)	plan, design	設計(する)	n.
とびこむ	dive, plunge	飛び込む	v.
じゃま(する)	obstacle, disturbance, interruption	邪魔(する)	n.
ゆでる	boil	ゆでる	v.
プール	pool	プール	n.
べんごし	lawyer, counsellor	弁護士	n.
しかる	scold, admonish	叱る	v.
こいびと	lover, boyfriend, girlfriend	恋人	n.
くらし	life, livelihood	暮らし	n.
おう	king, monarch	王	n.
まね(する)	imitation, mimicry, impersonation	真似(する)	n.
ぜいきん	tax	税金	n.
あづける	leave, check, deposit	預ける	v.
やわらかい	soft, tender	柔らかい	i-adj.
ものごと	thing	物事	n.
あいかわらず		相変わらず	
ねんきん	pension, annuity	年金	n.
やりとり	exchange, interchange	やりとり	n.
ホーム	platform	ホーム	n.
たよる	depend, turn to, trust	頼る	v.
がくせいじだい	student days, university days	学生時代	n.
あこがれ	admiration	憧れ	n.
うちがわ	inside, interior, inner	内側	n.
こうし	speaker, lecturer	講師	n.
いけ	pond	池	n.
せつぞく(する)	connection	接続(する)	n.
やくしゃ	actor, actress	役者	n.
ひかる	shine, glitter, twinkle  星が光っている。 — The stars are shining.	光る	v.
ふじさん	Mt. Fuji	富士山	n.
ひつようせい	necessity	必要性	n.
ななとき	seven o’clock	七時	n.
としたら		としたら	p.
しゅつえん(する)	appearance, broadcast	出演(する)	n.
はしら	pillar, post	柱	n.
まにあう	catch, get, make it  電車に間に合った。 — I caught the train OK.	間に合う	v.
ねんだい	era; generation; date	年代	n.
てつ	iron, steel	鉄	n.
けいぞく(する)	continuation	継続(する)	n.
とくしゅ	special	特殊	na-adj.
ひきあげる	pull up; increase, raise	引き上げる	v.
スペイン	Spain	スペイン	n.
さいばん	trial; judgment; justice  裁判が開かれる。 — The court is in sessio	裁判	n.
はあ	oh, Oh boy, Oh dear	はあ	interj.
うわまわる	exceed, surpass	上回る	v.
ちかてつ	subway, underground	地下鉄	n.
せんもんいえ	expert, specialist	専門家	n.
ないぶ	inside, interior	内部	n.
われる	break; crack	割る	v.
スペース	space, room	スペース	n.
けっかてき	result	結果的	na-adj.
のめる	be able to drink	飲める	v.
わり	cost, rate	割	n.
にっき	diary	日記	n.
になう	cover, carry, take	担う	v.
ゆれる	shake, wave, swing	揺れる	v.
かれ	he; boyfriend  彼は三十歳だ。 — He is thirty years old.	彼	pron.
いちひき	one (animal) 犬を一匹飼っている。 — I have a dog as a pet.	一匹	n.
けんぽう	constitution	憲法	n.
けん	affair, matter, issue	件	n.
えどじだい	Edo era	江戸時代	n.
むく	peel, pare  リンゴの皮をむく。 — I peel apples.	むく	v.
しんせつ	kind	親切	na-adj.
さいたまけん	Saitama prefecture	埼玉県	n.
きゅうそく	rapid, speedy	急速	na-adj.
もえる	burn, flame, glow, be on fire	燃える	v.
すえ	end, last	末	n.
い	stomach, belly  胃が痛い。 — I have a stomachache.	胃	n.
きゅうしゅう	Kyushu	九州	n.
ブログ	blog	ブログ	n.
にすぎない	just, mere	にすぎない	aux.
そうてい(する)	assumption, supposition	想定(する)	n.
がくしゅう(する)	learning, study	学習(する)	n.
ケーキ	cake	ケーキ	n.
ろくとし	six years	六年	n.
ふくろ	bag, sack, pouch	袋	n.
いりょう	medical care, medical treatment	医療	n.
ぞうだい(する)	increase, growth; increase, grow	増大(する)	n.
きょうそう(する)	competition, contest	競争(する)	n.
とうし(する)	investment	投資(する)	n.
ほっとする	be relieved	ほっとする	v.
おみやげ	present, souvenir	お土産	n.
きじゅつ(する)	description, account	記述(する)	n.
あやまる	apologize	謝る	v.
にもかかわらず		にもかかわらず	p.
かくとく(する)	acquisition	獲得(する)	n.
みなおす	review, look over	見直す	v.
むじん	uninhabited, empty	無人	n.
こころがける	be careful,  be prudent	心がける	v.
テープ	tape	テープ	n.
ななひ	seventh (date); seven days	七日	n.
ふたつめ	second	二つ目	n.
いた	board, plate	板	n.
じまん(する)	pride, boast	自慢(する)	n.
ぜんこう	previous page	前項	n.
せんきょ	election	選挙	n.
こうしん(する)	renewal	更新(する)	n.
IT	IT	IT	n.
あちら	that way; that place, there; that	あちら	pron.
うけとめる	take, catch	受け止める	v.
けいき	business conditions, economy	景気	n.
にじゅうごひ	twenty-fifth (date); twenty-five days	二十五日	n.
こんきょ	ground, evidence	根拠	n.
チケット	ticket	チケット	n.
みんかん	private, non government	民間	n.
くちょう	tone, voice	口調	n.
ふさわしい	suitable, appropriate	ふさわしい	i-adj.
といっても	even though	といっても	p.
めがね	glasses, spectacles	眼鏡	n.
わき	side	脇	n.
もちこむ	bring, import	持ち込む	v.
ぜんしん	all over, whole body	全身	n.
にいさん	elder brother	兄さん	n.
よそく(する)	prospect	予測(する)	n.
あれ	Oh	あれ	interj.
つながり	connection, relation	つながり	n.
かける	lack; chip	欠ける	v.
きらう	hate, detest  彼は変化を嫌う。 — He hates changes.	嫌う	v.
ほけんりょう	insurance premium	保険料	n.
とばす	let fly, fly	飛ばす	v.
おそわる	learn	教わる	v.
さんじゅうとし	thirty years	三十年	n.
こうはん	latter half, second half	後半	n.
たく	burn	たく	v.
なにひ	many days; how many days	何日	n.
ぼうし(する)	prevention	防止(する)	n.
いでんし	gene	遺伝子	n.
ほんや	bookshop	本屋	n.
あした	tomorrow	明日	n.
はやめ	early	早め	n.
どくとく	peculiar, unique; personal	独特	na-adj.
こんや	tonight	今夜	n.
ゆえ	reason; therefore	ゆえ	n.
リズム	rhythm	リズム	n.
つく	push; prick	突く	v.
たましい	soul, spirit	魂	n.
たいざい(する)	stay, visit	滞在(する)	n.
れんけい(する)	cooperation	連携(する)	n.
ライブ	live (music)	ライブ	n.
えんずる	play, perform	演ずる	v.
はいし(する)	abolition	廃止(する)	n.
ふっかつ(する)	revival, restoration	復活(する)	n.
しゃっきん(する)	debt, loan	借金(する)	n.
じょうしき	common sense, general knowledge	常識	n.
やみ	darkness, dark	闇	n.
みまもる	watch, observe	見守る	v.
ふべん	inconvenience	不便	n.
えいよう	nutrition	栄養	n.
ふらんすご	French language  大学でフランス語を勉強する。 — I study	フランス語	n.
アクセス	access	アクセス	n.
PC	personal computer	PC	n.
ふこう	unhappiness, misfortune  彼は自分の不幸を嘆いた。 — He regretted his misfortune.	不幸	na-adj.
こだわる	stick to; be particular about	こだわる	v.
カット	cut	カット	n.
かわく	dry	乾く	v.
おまけ	addition, free gift	おまけ	n.
をはじめ	starting with ... , including	をはじめ	p.
ついで	on one’s way, along the way	ついで	n.
めいしょう	name	名称	n.
きたえる	train, discipline	鍛える	v.
だいがくせい	college student, university student	大学生	n.
ひだりて	left hand; on one’s left	左手	n.
かんそう(する)	dryness	乾燥(する)	n.
たった	just, only	たった	adv.
およそ	around, about	およそ	adv.
はちひ	eighth (date); eight days	八日	n.
ぴったり	tight; exactly	ぴったり	adv.
そえる	attach, add	添える	v.
ノート	notebook	ノート	n.
はいち(する)	arrangement, layout	配置(する)	n.
ゆしゅつ(する)	exportation	輸出(する)	n.
かげ	shade, shadow; behind someone’s back	陰	n.
つける	soak; pickle	漬ける	v.
くだもの	fruit	果物	n.
ここ	individual, each	個々	n.
じゅうろくひ	sixteenth (date); sixteen days	十六日	n.
でんわばんごう	telephone	電話番号	n.
こむ	be crowded	混む	v.
きずく	build, have	築く	v.
おだやか	mild; calm, peaceful	穏やか	na-adj.
むすびつく	join, be connected with	結び付く	v.
くずれる	crumble, collapse	崩れる	v.
とどける	deliver; send; report	届ける	v.
プレー	play	プレー	n.
しんぽ(する)	progress, advance	進歩(する)	n.
ひゃく	. hundred	百	num
(お)しり	hips	(お)尻	n.
よごれる	dirty, soil	汚れる	v.
さんぎょう	industry	産業	n.
ぜんじつ	eve, previous day	前日	n.
きゅうしゅう(する)	absorption, assimilation	吸収(する)	n.
おどろき	surprise, amazement	驚き	n.
それん	Soviet Union	ソ連	n.
かなしみ	sadness, grief	悲しみ	n.
じゅういちひ	eleventh (date); eleven days	十一日	n.
さいてい	minimum, lowest	最低	n.
じゅうろく	. sixteen	十六	num
にんにく	garlic	にんにく	n.
じゅんばん	turn, order	順番	n.
さいばんしょ	court, courthouse	裁判所	n.
かんこう(する)	sightseeing	観光(する)	n.
もうしわけ	excuse, apology	申し訳	n.
はっぱ	leaf	葉っぱ	n.
いきもの	creature, life	生き物	n.
えんしゅつ(する)	,	演出(する)	n.
ですが	but, however	ですが	conj.
ほんき	seriousness, earnestness	本気	n.
さんとしせい	third grade, third year	三年生	n.
きにゅう(する)	entry	記入(する)	n.
みあげる	look up; respect  空を見上げてごらん。 — Look up at the sky.	見上げる	v.
はなしあい	discussion, meeting	話し合い	n.
ね	price	値	n.
ひとりぐらし	living alone,  single life	一人暮らし	n.
しゅし	purpose, intention, point	趣旨	n.
やわらかい	soft	柔らかい	i-adj.
した	tongue	舌	n.
さんじかん	three hours	三時間	n.
こうかい(する)	repentance, regret	後悔(する)	n.
つめる	plug, pack, stuff	詰める	v.
しょうり	victory, triumph, winning	勝利	n.
じかく(する)	consciousness, awareness	自覚(する)	n.
けさ	this morning	今朝	n.
そうごうてき	synthetic, integrated, comprehensive	総合的	na-adj.
うつくしさ	beauty	美しさ	n.
ほうじん	corporation	法人	n.
すべる	slide, slip; be slippery	滑る	v.
きょくたん	extreme	極端	na-adj.
りゅうがく(する)	,	留学(する)	n.
ねん	sense, feeling	念	n.
ぎんざ	Ginza (place name)	銀座	n.
じゅうごとし	fifteen years	十五年	n.
ただよう	drift, float	漂う	v.
はかる	measure; weigh	測る	v.
えいえん	eternity, permanence	永遠	n.
じゅうよんひ	fourteenth (date); fourteen days	十四日	n.
とりもどす	take back, repossess	取り戻す	v.
いっぺん	at the same time; altogether	いっぺん	n.
もん	gate	門	n.
のび	growth	伸び	n.
たどる	follow, trace, search	たどる	v.
じれい	case	事例	n.
どなた	who  どなたですか。 — Who is this?	どなた	pron.
やばい	risky, chancy	やばい	i-adj.
じょうだん	joke	冗談	n.
す	nest	巣	n.
しんてん(する)	progress, development, evolution	進展(する)	n.
てつだい	help	手伝い	n.
しぼう(する)	death, decease	死亡(する)	n.
さいぼう	cell	細胞	n.
ぎせい	sacrifice, expense	犠牲	n.
なぐる	hit, strike	殴る	v.
ぜんご	back and forth	前後	n.
たいりつ(する)	opposition, conflict	対立(する)	n.
ろくひ	sixth (date); six days	六日	n.
ひりつ	ratio, proportion	比率	n.
タイ	Thailand タイへ旅行に行く。 — I’m going on a trip to	タイ	n.
はなつ	fly, loose	放つ	v.
ほんこん	Hong Kong	香港	n.
みずうみ	lake	湖	n.
かせぐ	earn	稼ぐ	v.
しゅつげん(する)	appearance, dawn, birth, advent	出現(する)	n.
しんじつ	truth, reality  真実を話します。 — I’ll tell you the truth.	真実	n.
ぜんかい	last time, previous time	前回	n.
こうじ(する)	construction, work	工事(する)	n.
かがく	science	科学	n.
じゅん	order	順	n.
どくしゃ	reader	読者	n.
ふそく(する)	lack, shortage	不足(する)	n.
しゃかいてき	social	社会的	na-adj.
げんてい(する)	restriction, limitation	限定(する)	n.
げきだん	theater company	劇団	n.
かんごふ	nurse (female)	看護婦	n.
にんじん	carrot  にんじんが好きだ。 — I like carrots.	人参	n.
いちめん	side, facet	一面	n.
しょうがい	life, lifetime; career	生涯	n.
いし	will, intention	意思	n.
ついか(する)	addition, supplement	追加(する)	n.
たいわん	Taiwan	台湾	n.
にちじょうせいかつ	daily life	日常生活	n.
ふく	wipe, dry	拭く	v.
レース	race	レース	n.
みんぞく	people, race, nation	民族	n.
てん	sky, heaven	天	n.
はなび	firework	花火	n.
こうもく	item, heading	項目	n.
どうこう	trend, movement	動向	n.
にしろ		にしろ	p.
ひごろ	every day	日頃	n.
すな	sand	砂	n.
だいこん	Japanese radish, radish	大根	n.
かんげき(する)	deep emotion	感激(する)	n.
うく	float, suspend	浮く	v.
まして	much less, much more	まして	adv.
リスク	risk	リスク	n.
ひっかかる	catch; be caught	引っ掛かる	v.
オークション	auction	オークション	n.
にじゅういちひ	twenty-first	二十一日	n.
ほら	Look!	ほら	interj.
をとおして	according to; through	を通して	cp.
ぶき	weapon	武器	n.
とない	in the city	都内	n.
いはん(する)	violation	違反(する)	n.
すっきり(する)	,	すっきり(する)	adv.
じゅうにひ	twelfth (date),  twelve days	十二日	n.
べつに	(not) particularly  別に構いません。 — I don’t mind particularly.	別に	adv.
じゅうはちひ	eighteenth (date); eighteen days	十八日	n.
おたく	your house	お宅	n.
こうつう	traffic; transportation	交通	n.
ぎょうかい	business world	業界	n.
かいほう(する)	liberation	解放(する)	n.
じゅよう	demand	需要	n.
こうど	altitude	高度	n.
きこく(する)	,	帰国(する)	n.
ごぜんなか	in the morning, throughout the morning	午前中	n.
じっせん(する)	,	実践(する)	n.
しんこく	serious  事態は深刻だ。 — The situation is serious.	深刻	na-adj.
じゅうはち	. eighteen	十八	num
かんけいもの	person concerned  関係者以外は立入禁止である。 — No unauthorized entry.	関係者	n.
おいかける	run after, chase	追いかける	v.
さよう(する)	action	作用(する)	n.
まいしゅう	every week	毎週	adv.
いつつ	five	五つ	n.
ひんぱん	frequent	頻繁	na-adj.
さべつ(する)	discrimination	差別(する)	n.
おおごえ	loud voice	大声	n.
ながねん	long time; many years	長年	adv.
かたまり	mass, lump	固まり	n.
かいてき	comfortable	快適	na-adj.
あいつ	that fellow; that thing	あいつ	pron.
けんしゅう(する)	training	研修(する)	n.
しずむ	sink, go down	沈む	v.
だんし	boy, man	男子	n.
つめ	nail; claw  伸びた爪を切った。 — I cut my long nails.	爪	n.
せいねん	young man	青年	n.
つかまえる	catch, arrest	捕まえる	v.
こいつ	this fellow; this thing  こいつは駄目だ。 — This fellow is no good.	こいつ	pron.
こおり	ice	氷	n.
じゅうななひ	seventeenth (date); seventeen days	十七日	n.
するどい	sharp, pointed	鋭い	i-adj.
いじめる	torment, bully, tease	いじめる	v.
ぎょうしゃ	dealer, agent, operator	業者	n.
たいはん	better part, most part	大半	n.
つくりあげる	make up, build up	作り上げる	v.
みっつめ	third	三つ目	n.
しょうする	call; pretend	称する	v.
とすれば		とすれば	p.
しじ(する)	support	支持(する)	n.
きゅうひ	ninth (date); nine days	九日	n.
めす	female animal	雌	n.
あと	track, trail; mark, sign	跡	n.
トマト	tomato	トマト	n.
エピソード	episode, anecdote	エピソード	n.
しん	truth, fact  それは真か。 — Is it the truth?	真	n.
ほうもん(する)	visit, call	訪問(する)	n.
スピーチ	speech	スピーチ	n.
いっけん	at a glance	一見	adv.
あしもと	at one’s feet; step	足元	n.
だいどころ	kitchen	台所	n.
ねばならない	must,  have to	ねばならない	cp.
もう	hair; fur; wool	毛	n.
いちてん	point, single point	一点	n.
にじゅうさんひ	twenty-third	二十三日	n.
しきゅう(する)	provision, payment	支給(する)	n.
けいひ	expense, cost	経費	n.
はれる	clear up, be dispelled; be refreshed	晴れる	v.
かんしん(する)	admiration	感心(する)	n.
ポケット	pocket	ポケット	n.
けつい(する)	determination	決意(する)	n.
ほうそく	law	法則	n.
とはいえ		とはいえ	p.
しさん	assets, property	資産	n.
しんちょう	careful, discreet	慎重	na-adj.
にじゅうよんひ	twenty-fourth (date); twenty-four days	二十四日	n.
そんけい(する)	respect	尊敬(する)	n.
つくす	do one’s best, devote; exhaust	尽くす	v.
なぞ	mystery, riddle	謎	n.
たんぼ	rice field	田んぼ	n.
ひょうばん	reputation; popularity	評判	n.
さむさ	cold	寒さ	n.
てんじょう	ceiling	天井	n.
いけぶくろ	Ikebukuro (place name)	池袋	n.
せめて	at least, at most	せめて	adv.
きっさてん	tearoom, coffee shop, café	喫茶店	n.
じゅうぎょういん	employee, worker	従業員	n.
よめ	wife; bride; daughter-in-law	嫁	n.
うかべる	float; show; imagine	浮かべる	v.
さいがい	disaster, calamity	災害	n.
こくさいてき	international	国際的	na-adj.
かみのけ	hair 床に髪の毛が落ちている。 — Hair has fallen on the floor. 17 | 0.84	髪の毛	n.
ないといけない	must, have to	ないといけない	cp.
かにゅう(する)	admission, joining	加入(する)	n.
うけつけ	acceptance, information desk, reception (desk)	受け付け	n.
たま	ball; coin	玉	n.
かた	model, pattern, type	型	n.
じゅんちょう	satisfactory, favorable, smooth	順調	na-adj.
せんもん	specialty, speciality  彼女の専門は法律だ。 — Her specialty is law.	専門	n.
きょうきゅう(する)	,	供給(する)	n.
ふり	pretence	振り	n.
うりあげ	sales	売り上げ	n.
けんちく(する)	architecture, construction	建築(する)	n.
りようもの	user	利用者	n.
たよう	various	多様	na-adj.
ちほうこうきょうだんたい	local public body	地方公共団体	n.
じゃん	disc. isn’t it  いいじゃん。 — It’s good, isn’t it?	じゃん	p.
てつどう	railroad, railway	鉄道	n.
たんじょうひ	birthday	誕生日	n.
ごじゅうとし	fifty years	五十年	n.
やくいん	official, director	役員	n.
せつび	equipment, facilities	設備	n.
あっか(する)	change for the worse	悪化(する)	n.
よう	something to do; use	用	n.
ただいま	now, just now, at once; I’m back!	ただいま	adv.
